Alpha,Theta,Device,Sensor0,Visible0,IR0,Sensor1,Visible1,IR1,Sensor2,Visible2,IR2,Sensor3,Visible3,IR3,Sensor4,Visible4,IR4,Sensor5,Visible5,IR5,Sensor6,Visible6,IR6,Sensor7,Visible7,IR7,Sensor8,Visible8,IR8,Sensor9,Visible9,IR9,Sensor10,Visible10,IR10,Sensor11,Visible11,IR11,TempSensor0,Temp0,TempSensor1,Temp1,TempSensor2,Temp2,TempSensor3,Temp3
0,95,BH1730,ch0,732,524,ch1,745,533,ch2,930,644,ch3,776,523,ch4,757,524,ch5,699,464,ch6,158,144,ch7,160,143,ch8,165,145,ch9,25797,17058,ch10,25549,16483,ch11,25713,16604,t0, 0, t1, 0, t2, 0, t3, 0
0,100,BH1730,ch0,759,588,ch1,1455,930,ch2,3460,2771,ch3,586,394,ch4,609,426,ch5,560,375,ch6,156,141,ch7,163,144,ch8,162,141,ch9,25669,17358,ch10,25306,16305,ch11,25753,16578,t0, 0, t1, 0, t2, 0, t3, 0
0,105,BH1730,ch0,873,742,ch1,5309,3769,ch2,5658,4316,ch3,606,409,ch4,488,342,ch5,482,328,ch6,159,142,ch7,170,149,ch8,169,146,ch9,25211,17041,ch10,24639,16150,ch11,25445,16132,t0, 0, t1, 0, t2, 0, t3, 0
0,110,BH1730,ch0,1119,990,ch1,7848,5540,ch2,7813,5549,ch3,735,500,ch4,591,420,ch5,491,337,ch6,165,145,ch7,181,156,ch8,183,154,ch9,24671,16690,ch10,23815,15879,ch11,24812,16327,t0, 0, t1, 0, t2, 0, t3, 0
0,115,BH1730,ch0,2199,1580,ch1,10422,7113,ch2,10063,6775,ch3,755,523,ch4,671,475,ch5,536,369,ch6,177,151,ch7,196,166,ch8,201,165,ch9,23855,16256,ch10,22899,15383,ch11,24141,16031,t0, 0, t1, 0, t2, 0, t3, 0
0,120,BH1730,ch0,11697,5900,ch1,12996,8526,ch2,12527,8014,ch3,701,490,ch4,639,458,ch5,532,372,ch6,197,162,ch7,223,184,ch8,235,187,ch9,22879,15671,ch10,21949,14413,ch11,23067,15316,t0, 0, t1, 0, t2, 0, t3, 0
0,125,BH1730,ch0,14161,7865,ch1,15356,9994,ch2,14999,9367,ch3,680,478,ch4,584,426,ch5,485,347,ch6,225,179,ch7,273,217,ch8,311,242,ch9,21645,14875,ch10,20797,13549,ch11,21853,14051,t0, 0, t1, 0, t2, 0, t3, 0
0,130,BH1730,ch0,16277,10145,ch1,17635,11253,ch2,17317,10558,ch3,611,440,ch4,539,401,ch5,429,314,ch6,254,193,ch7,317,241,ch8,384,293,ch9,20301,14272,ch10,19389,12674,ch11,20158,12976,t0, 0, t1, 0, t2, 0, t3, 0
0,135,BH1730,ch0,18338,11951,ch1,19535,12420,ch2,19216,11547,ch3,523,385,ch4,481,364,ch5,386,284,ch6,272,198,ch7,333,245,ch8,403,294,ch9,18787,12850,ch10,17908,11433,ch11,18252,11663,t0, 0, t1, 0, t2, 0, t3, 0
0,140,BH1730,ch0,20208,13481,ch1,21028,13605,ch2,20941,13007,ch3,405,306,ch4,391,301,ch5,335,253,ch6,277,203,ch7,321,235,ch8,377,273,ch9,17037,11647,ch10,15902,10554,ch11,16293,10290,t0, 0, t1, 0, t2, 0, t3, 0
0,145,BH1730,ch0,21875,14091,ch1,22489,14260,ch2,22628,14228,ch3,288,226,ch4,293,229,ch5,267,203,ch6,294,214,ch7,371,271,ch8,436,314,ch9,14899,10469,ch10,13709,9083,ch11,13957,8306,t0, 0, t1, 0, t2, 0, t3, 0
0,150,BH1730,ch0,22976,14523,ch1,23685,15470,ch2,23845,15092,ch3,251,197,ch4,261,203,ch5,244,187,ch6,322,236,ch7,383,274,ch8,506,364,ch9,12907,9131,ch10,11375,7535,ch11,11242,6590,t0, 0, t1, 0, t2, 0, t3, 0
0,155,BH1730,ch0,23882,15732,ch1,24658,16225,ch2,24653,15334,ch3,245,195,ch4,256,202,ch5,234,181,ch6,356,261,ch7,387,275,ch8,489,346,ch9,10746,7797,ch10,8903,6079,ch11,3717,1795,t0, 0, t1, 0, t2, 0, t3, 0
0,160,BH1730,ch0,24358,16290,ch1,25160,16209,ch2,25180,15571,ch3,237,190,ch4,250,198,ch5,227,176,ch6,406,294,ch7,406,286,ch8,459,323,ch9,8560,6329,ch10,6721,5003,ch11,999,905,t0, 0, t1, 0, t2, 0, t3, 0
0,165,BH1730,ch0,24683,16462,ch1,25717,17036,ch2,25543,16002,ch3,232,188,ch4,243,194,ch5,221,172,ch6,438,311,ch7,436,307,ch8,429,303,ch9,6121,4742,ch10,4511,3753,ch11,642,585,t0, 0, t1, 0, t2, 0, t3, 0
